COIN	COIN_ABR	DATE	OPEN	HIGH	LOW	CLOSE
litecoin	LTC	2017-01-13	3.95	3.96	3.8	3.89
ripple	XRP	2017-01-13	0.006434	0.006664	0.006396	0.006596
bitcoin	BTC	2017-01-14	825.14	835.09	812.46	818.41
ethereum	ETH	2017-01-14	9.79	9.89	9.44	9.65
litecoin	LTC	2017-01-14	3.89	3.95	3.87	3.9
ripple	XRP	2017-01-14	0.00661	0.006872	0.006585	0.006863
bitcoin	BTC	2017-01-15	818.14	823.31	812.87	821.8
ethereum	ETH	2017-01-15	9.83	10	9.6	9.9
litecoin	LTC	2017-01-15	3.89	3.95	3.88	3.93
ripple	XRP	2017-01-15	0.006867	0.006925	0.006726	0.006726
bitcoin	BTC	2017-01-16	821.78	834.53	820.27	831.53
ethereum	ETH	2017-01-16	9.88	9.93	9.58	9.64
litecoin	LTC	2017-01-16	3.92	3.96	3.87	3.9
ripple	XRP	2017-01-16	0.006747	0.006836	0.006717	0.006788
bitcoin	BTC	2017-01-17	830.95	910.56	830.8	907.94
ethereum	ETH	2017-01-17	9.64	10.61	9.54	10.3
litecoin	LTC	2017-01-17	3.91	3.95	3.85	3.94
ripple	XRP	2017-01-17	0.006772	0.006848	0.006612	0.0068
bitcoin	BTC	2017-01-18	909.37	917.5	858.3	886.62
ethereum	ETH	2017-01-18	10.3	10.52	9.94	10.23
litecoin	LTC	2017-01-18	3.94	3.95	3.78	3.84
ripple	XRP	2017-01-18	0.00679	0.007125	0.006659	0.006709
bitcoin	BTC	2017-01-19	888.34	904.61	884.34	899.07
ethereum	ETH	2017-01-19	10.24	10.44	10.18	10.4
litecoin	LTC	2017-01-19	3.84	3.93	3.81	3.86
ripple	XRP	2017-01-19	0.006713	0.00704	0.006671	0.007034
bitcoin	BTC	2017-01-20	898.17	899.4	887.01	895.03
ethereum	ETH	2017-01-20	10.39	10.76	10.35	10.6
litecoin	LTC	2017-01-20	3.86	3.91	3.84	3.89
ripple	XRP	2017-01-20	0.007032	0.00716	0.00661	0.006675
bitcoin	BTC	2017-01-21	895.55	927.37	895.53	921.79
ethereum	ETH	2017-01-21	10.6	10.98	10.58	10.91
litecoin	LTC	2017-01-21	3.89	3.92	3.89	3.9
ripple	XRP	2017-01-21	0.006694	0.006824	0.006678	0.006706
bitcoin	BTC	2017-01-22	922.21	937.52	897.56	924.67
ethereum	ETH	2017-01-22	10.91	10.97	10.58	10.7
litecoin	LTC	2017-01-22	3.9	3.92	3.82	3.84
ripple	XRP	2017-01-22	0.006706	0.006759	0.006653	0.006713
bitcoin	BTC	2017-01-23	925.5	928.27	916.74	921.01
ethereum	ETH	2017-01-23	10.71	10.84	10.67	10.82
litecoin	LTC	2017-01-23	3.86	3.86	3.82	3.84
ripple	XRP	2017-01-23	0.006718	0.006735	0.006662	0.006697
bitcoin	BTC	2017-01-24	910.68	924.14	892.29	892.69
ethereum	ETH	2017-01-24	10.73	10.77	10.57	10.63
litecoin	LTC	2017-01-24	3.84	3.84	3.78	3.79
ripple	XRP	2017-01-24	0.006708	0.006718	0.006534	0.00654
bitcoin	BTC	2017-01-25	891.92	903.25	891.69	901.54
ethereum	ETH	2017-01-25	10.62	10.62	10.48	10.57
litecoin	LTC	2017-01-25	3.79	3.8	3.69	3.71
ripple	XRP	2017-01-25	0.006527	0.006594	0.00649	0.006513
bitcoin	BTC	2017-01-26	902.39	919.33	902.22	917.59
ethereum	ETH	2017-01-26	10.57	10.67	10.51	10.59
litecoin	LTC	2017-01-26	3.71	3.84	3.71	3.83
ripple	XRP	2017-01-26	0.006511	0.007073	0.006425	0.00669
bitcoin	BTC	2017-01-27	918.36	923.22	915.85	919.75
ethereum	ETH	2017-01-27	10.58	10.61	10.44	10.54
litecoin	LTC	2017-01-27	3.84	3.86	3.81	3.86
ripple	XRP	2017-01-27	0.006685	0.006815	0.006331	0.006415
bitcoin	BTC	2017-01-28	919.81	923.91	919.81	921.59
ethereum	ETH	2017-01-28	10.54	10.58	10.43	10.56
litecoin	LTC	2017-01-28	3.85	3.87	3.84	3.85
ripple	XRP	2017-01-28	0.006409	0.006419	0.006323	0.006342
bitcoin	BTC	2017-01-29	922.07	923.42	919.15	919.5
ethereum	ETH	2017-01-29	10.56	10.57	10.45	10.48
litecoin	LTC	2017-01-29	3.85	3.86	3.84	3.85
ripple	XRP	2017-01-29	0.006356	0.006493	0.006287	0.006402
bitcoin	BTC	2017-01-30	920.15	923.05	919.47	920.38
ethereum	ETH	2017-01-30	10.49	10.71	10.47	10.57
litecoin	LTC	2017-01-30	3.86	4.02	3.86	4.02
